city,state,latitude,longitude,pop,woeid
Albuquerque,New Mexico,35.0844909,-106.6511383,725723,2352824
Atlanta,Georgia,33.7489954,-84.3879852,2464454,2357024
Austin,Texas,30.267153,-97.7430573,919684,2357536
Baltimore,Maryland,39.2903848,-76.6121902,1432946,2358820
Baton Rouge,Louisiana,30.4507462,-91.1545486,322710.5,2359991
Boston,Massachusetts,42.3584308,-71.0597763,2528070.5,2367105
Charlotte,North Carolina,35.2270869,-80.8431244,943574.5,2378426
Chicago,Illinois,41.850033,-87.6500549,5915976,2379574
Cincinnati,Ohio,39.1620036,-84.4568863,971191,2380358
Cleveland,Ohio,41.4994954,-81.6954117,1169757,2381475
Colorado Springs,Colorado,38.8338816,-104.8213654,427272,2383489
Columbus,Ohio,39.9611755,-82.9987946,202225,2383660
Denver,Colorado,39.7391536,-104.9847031,1930799.5,2391279
Detroit,Michigan,42.331427,-83.0457535,2526135,2391585
El Paso,Texas,31.7587198,-106.4869308,658331,2397816
Fresno,California,36.7477272,-119.7723694,540768,2407517
Greensboro,North Carolina,36.0726355,-79.7919769,310328,2414469
Honolulu,Hawaii,21.3069444,-157.8583374,578828.5,2423945
Houston,Texas,29.7632836,-95.3632736,4053287,2424766
Indianapolis,Indiana,39.7683765,-86.1580429,1104641.5,2427032
Jacksonville,Florida,30.3321838,-81.6556473,72651.5,2428344
Kansas City,Kansas,39.0997266,-94.5785675,324221.5,2430683
Las Vegas,Nevad,36.1749705,-115.1372223,15521,2436704
Long Beach,California,33.7669623,-118.1892319,1249195.5,2441472
Los Angeles,California,34.0522342,-118.2436829,135334.5,2442047
Louisville,Kentucky,38.2542376,-85.759407,595819.5,2442327
Memphis,Tennessee,35.1495343,-90.0489807,753843.5,2449323
Mesa,Arizona,33.4222685,-111.8226395,762217.5,2449808
Miami,Florida,25.7742658,-80.1936569,2983947,2450022
Milwaukee,Wisconsin,43.0389025,-87.9064713,983590,2451822
Minneapolis,Minnesota,44.9799654,-93.2638397,1491886.5,2452078
Nashville,Tennessee,36.1658899,-86.7844467,703926,2457170
New Orleans,Louisiana,29.9546482,-90.0750732,527428.5,2458833
Norfolk,Virginia,36.8468146,-76.2852173,24562,2460389
Oklahoma City,Oklahoma,35.4675602,-97.5164261,660475,2464592
Omaha,Nebraska,41.2586096,-95.9377899,643034,2465512
Orlando,Florida,28.5383355,-81.3792343,778985,2466256
Philadelphia,Pennsylvania,39.952335,-75.1637878,3504775,2471217
Phoenix,Arizona,33.4483771,-112.0740356,2436022.5,2471390
Pittsburgh,Pennsylvania,40.4406248,-79.9958878,1535267.5,2473224
Portland,Oregon,45.5234515,-122.6762085,10324.5,2475687
Raleigh,North Carolina,35.772096,-78.6386108,789991.5,2478307
Sacramento,California,38.5815719,-121.4944,1035949,2486340
San Antonio,Texas,29.4241219,-98.4936295,94971.5,2487796
San Diego,California,32.7153292,-117.1572571,1938570.5,2487889
San Francisco,California,37.7749295,-122.4194183,43231,2487956
San Jose,California,37.3393857,-121.8949585,642862,2488042
Seattle,Washington,47.6062095,-122.3320694,1821684.5,2490383
Tampa,Florida,27.9475216,-82.4584274,1319232.5,2503863
Tucson,Arizona,32.2217429,-110.9264755,670953.5,2508428
Virginia Beach,Virginia,36.8529263,-75.9779816,877475.5,2512636
